source,target,value
Cambridgeport,South Boston,0.45890545
Area 2/MIT,West Cambridge,0.46115
Bay Village,Mid-Cambridge,0.462015
EVERETT_02149,South End,0.4639875
Cambridgeport,Wellington-Harrington,0.464375
East Cambridge,SOMERVILLE_02145,0.46954
Allston,Jamaica Plain,0.47069
Bay Village,Jamaica Plain,0.47084
Roxbury,SOMERVILLE_02143,0.472565
BROOKLINE_02446,Roxbury,0.47501
Allston,Bay Village,0.476525
BROOKLINE_02446,Dorchester,0.47983
Bay Village,North Cambridge,0.482605
Mission Hill,West Cambridge,0.48533
BROOKLINE_02446,Mid-Cambridge,0.489045
Cambridgeport,West End,0.491175
Mission Hill,The Port,0.491365
BROOKLINE_02446,Bay Village,0.49235
Allston,Downtown,0.49396
East Cambridge,Jamaica Plain,0.496535
East Boston,Leather District,0.49753
Agassiz,West End,0.5
Agassiz,Allston,0.50417
Charlestown,Roxbury,0.50545
Mid-Cambridge,Neighborhood Nine,0.50731
Area 2/MIT,Mission Hill,0.50775
Dorchester,South Boston Waterfront,0.508265
BROOKLINE_02446,South End,0.509595
EVERETT_02149,The Port,0.50985
Mission Hill,South End,0.512815
Agassiz,The Port,0.5133
EVERETT_02149,Jamaica Plain,0.51418
Brighton,South Boston,0.51442
BROOKLINE_02446,Wellington-Harrington,0.5151
Mid-Cambridge,SOMERVILLE_02145,0.51893
BROOKLINE_02445,SOMERVILLE_02145,0.51935
Dorchester,SOMERVILLE_02144,0.52158
Jamaica Plain,Mid-Cambridge,0.521713
Cambridgeport,Downtown,0.524585
BROOKLINE_02445,SOMERVILLE_02144,0.529955
Agassiz,South End,0.53152
Longwood Medical Area,SOMERVILLE_02143,0.53171
BROOKLINE_02445,Wellington-Harrington,0.542395
Cambridgeport,East Boston,0.5457
Cambridgeport,North End,0.54807
Downtown,SOMERVILLE_02143,0.548845
Fenway,SOMERVILLE_02143,0.5495
BROOKLINE_02445,Brighton,0.550155
MEDFORD_02155,SOMERVILLE_02144,0.550166
SOMERVILLE_02143,West End,0.55244
SOMERVILLE_02143,South Boston Waterfront,0.55311
BROOKLINE_02446,East Boston,0.55336
Fenway,The Port,0.5563
Agassiz,Chinatown,0.5564
Cambridgeport,Mid-Cambridge,0.5602
Cambridgeport,MEDFORD_02155,0.5608585
West Cambridge,West End,0.561075
Leather District,West End,0.5611
Longwood Medical Area,Wellington-Harrington,0.5618
East Boston,Roxbury,0.56495
Area 2/MIT,WATERTOWN_02472,0.56512
Cambridgeport,Neighborhood Nine,0.5661
Allston,Fenway,0.567
Area 2/MIT,Longwood Medical Area,0.567253
MEDFORD_02155,Mission Hill,0.567965
Area 2/MIT,South Boston Waterfront,0.573495
Area 2/MIT,Bay Village,0.5737315
BROOKLINE_02446,SOMERVILLE_02145,0.57535
Riverside,SOMERVILLE_02144,0.577945
Fenway,Longwood Medical Area,0.578295
Allston,South Boston Waterfront,0.580375
Allston,North End,0.58213
Brighton,West Cambridge,0.583925
SOMERVILLE_02145,The Port,0.587365
Agassiz,SOMERVILLE_02144,0.58765
South Boston Waterfront,South End,0.59565
Longwood Medical Area,North End,0.603085
Back Bay,Mission Hill,0.604155
Chinatown,SOMERVILLE_02145,0.605295
Brighton,North End,0.608435
BROOKLINE_02445,Dorchester,0.608955
Allston,Brighton,0.612615
BROOKLINE_02445,Roxbury,0.614895
Roxbury,South Boston Waterfront,0.61891
Beacon Hill,Fenway,0.61967
Beacon Hill,Cambridgeport,0.621615
BROOKLINE_02446,West Cambridge,0.623255
Fenway,Leather District,0.62501
East Boston,North Cambridge,0.630475
SOMERVILLE_02143,South End,0.6353
Cambridgeport,WATERTOWN_02472,0.641355
Area 2/MIT,South End,0.641375
Jamaica Plain,MEDFORD_02155,0.641825
Fenway,Roxbury,0.641845
Longwood Medical Area,Roxbury,0.642905
Chinatown,South Boston,0.64375
MEDFORD_02155,SOMERVILLE_02143,0.646625
Roxbury,South Boston,0.64706
EVERETT_02149,West End,0.647535
Chinatown,South End,0.647655
Brighton,Jamaica Plain,0.651765
Downtown,West End,0.653105
Back Bay,West Cambridge,0.65742
East Boston,North End,0.6578
SOMERVILLE_02145,WATERTOWN_02472,0.65782
Fenway,WATERTOWN_02472,0.658335
BROOKLINE_02445,East Cambridge,0.65905
East Cambridge,MEDFORD_02155,0.6594
MEDFORD_02155,Wellington-Harrington,0.66055
Charlestown,Downtown,0.66885
SOMERVILLE_02145,West Cambridge,0.670065
BROOKLINE_02446,Downtown,0.67058
Back Bay,East Cambridge,0.67124
Longwood Medical Area,Mid-Cambridge,0.672692
Area 2/MIT,SOMERVILLE_02143,0.68293
Bay Village,Riverside,0.68324
Area 2/MIT,SOMERVILLE_02145,0.6854225
Charlestown,Mission Hill,0.685485
SOMERVILLE_02143,South Boston,0.6885
Beacon Hill,East Cambridge,0.69116
Area 2/MIT,BROOKLINE_02446,0.692135
Longwood Medical Area,SOMERVILLE_02145,0.6925
Downtown,South End,0.693435
South End,West End,0.69469
WATERTOWN_02472,Wellington-Harrington,0.695
Riverside,The Port,0.699565
Chinatown,Roxbury,0.701115
Back Bay,Cambridgeport,0.701455
East Cambridge,Leather District,0.70425
Beacon Hill,Wellington-Harrington,0.705275
Bay Village,Mission Hill,0.70577
Dorchester,Mid-Cambridge,0.707775
Allston,BROOKLINE_02446,0.7103075
BROOKLINE_02445,Mission Hill,0.71547
Jamaica Plain,Riverside,0.717175
Dorchester,Fenway,0.71925
Back Bay,Roxbury,0.72235
BROOKLINE_02446,North Cambridge,0.723455
MEDFORD_02155,South Boston,0.72578
Riverside,WATERTOWN_02472,0.72598
Allston,Chinatown,0.730417
Agassiz,Wellington-Harrington,0.73134
Dorchester,West Cambridge,0.733475
Longwood Medical Area,Riverside,0.7343
Wellington-Harrington,West Cambridge,0.73465
Allston,SOMERVILLE_02143,0.73541
SOMERVILLE_02143,WATERTOWN_02472,0.73617
Bay Village,SOMERVILLE_02143,0.73801
Riverside,South Boston,0.739345
North Cambridge,South Boston,0.7397
Area 2/MIT,Jamaica Plain,0.740425
Bay Village,East Boston,0.7409
SOMERVILLE_02144,SOMERVILLE_02145,0.740995
BROOKLINE_02445,WATERTOWN_02472,0.74629
Cambridgeport,Charlestown,0.748045
Charlestown,North End,0.748751
Mid-Cambridge,Wellington-Harrington,0.7527
Cambridgeport,Dorchester,0.7555
Roxbury,WATERTOWN_02472,0.75565
North Cambridge,Riverside,0.7557015
Dorchester,WATERTOWN_02472,0.756705
Area 2/MIT,Charlestown,0.756765
Longwood Medical Area,South Boston Waterfront,0.75683
Roxbury,SOMERVILLE_02144,0.75799
Area 2/MIT,Wellington-Harrington,0.76279
Allston,SOMERVILLE_02144,0.76357
Cambridgeport,SOMERVILLE_02143,0.769235
Charlestown,Wellington-Harrington,0.770315
Area 2/MIT,Chinatown,0.773335
North End,SOMERVILLE_02144,0.775385
Allston,Neighborhood Nine,0.77654
North End,Wellington-Harrington,0.7801
Dorchester,South Boston,0.78052
Downtown,East Boston,0.7809725
Dorchester,West End,0.78533
Mission Hill,South Boston,0.789655
Fenway,North End,0.794245
East Cambridge,South End,0.79617
BROOKLINE_02445,Beacon Hill,0.7974555
Wellington-Harrington,West End,0.7984
Cambridgeport,East Cambridge,0.800695
East Cambridge,Mid-Cambridge,0.81035
Cambridgeport,SOMERVILLE_02144,0.81283
Chinatown,Fenway,0.8201
BROOKLINE_02446,SOMERVILLE_02143,0.822595
Back Bay,The Port,0.825065
Dorchester,Wellington-Harrington,0.82609
Charlestown,SOMERVILLE_02145,0.83428
Agassiz,Downtown,0.83577
Downtown,Longwood Medical Area,0.840335
SOMERVILLE_02144,West Cambridge,0.844535
Back Bay,South Boston Waterfront,0.844645
Bay Village,East Cambridge,0.84536
Brighton,Roxbury,0.84619
BROOKLINE_02446,Cambridgeport,0.85425
Mission Hill,SOMERVILLE_02145,0.8562
Mission Hill,West End,0.858995
East Cambridge,The Port,0.871775
Neighborhood Nine,SOMERVILLE_02143,0.873281
BROOKLINE_02445,Fenway,0.87651
Beacon Hill,Roxbury,0.87692
BROOKLINE_02446,Back Bay,0.882265
BROOKLINE_02445,Cambridgeport,0.88273
EVERETT_02149,Riverside,0.884711
Area 2/MIT,Neighborhood Nine,0.888475
Area 2/MIT,Riverside,0.88902
Brighton,Cambridgeport,0.889625
South Boston Waterfront,Wellington-Harrington,0.8926
Riverside,Roxbury,0.895415
EVERETT_02149,SOMERVILLE_02143,0.89585
Allston,Wellington-Harrington,0.896225
Riverside,SOMERVILLE_02145,0.8982
Bay Village,Roxbury,0.903605
Mission Hill,Wellington-Harrington,0.907295
BROOKLINE_02446,Mission Hill,0.918175
The Port,West End,0.91916
MEDFORD_02155,North Cambridge,0.919395
Back Bay,Longwood Medical Area,0.922295
Bay Village,Wellington-Harrington,0.92527
BROOKLINE_02446,Beacon Hill,0.928195
Mid-Cambridge,Riverside,0.9317
BROOKLINE_02446,Fenway,0.934415
Mission Hill,North End,0.93715
BROOKLINE_02445,SOMERVILLE_02143,0.93901
Cambridgeport,Chinatown,0.940045
Back Bay,South End,0.940705
MEDFORD_02155,West Cambridge,0.9411
Area 2/MIT,Brighton,0.94595
Dorchester,Riverside,0.94596
Longwood Medical Area,West End,0.95004
Agassiz,BROOKLINE_02446,0.952872
BROOKLINE_02446,Jamaica Plain,0.9552
EVERETT_02149,Roxbury,0.95765
Charlestown,Dorchester,0.96019
Agassiz,Area 2/MIT,0.962855
Jamaica Plain,SOMERVILLE_02144,0.965115
Area 2/MIT,Dorchester,0.966545
EVERETT_02149,South Boston,0.9749
North Cambridge,WATERTOWN_02472,0.98125
Jamaica Plain,SOMERVILLE_02145,0.98256
Downtown,South Boston Waterfront,0.98263
SOMERVILLE_02144,Wellington-Harrington,0.98656
Riverside,SOMERVILLE_02143,0.99162
BROOKLINE_02446,Longwood Medical Area,0.99647
Bay Village,West End,1.00344
EVERETT_02149,MEDFORD_02155,1.0045
Riverside,West Cambridge,1.00602
Charlestown,Chinatown,1.008525
