,fsz,lat,lng,rm,sz,url,use,val,yr,price
473,2750,42.32912,-71.05345,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=22+Liberty+Dr&citystatezip=02210,MultiFamily2To4,1226455,2015,"$1,579,000"
474,2208,42.292856,-71.147124,9,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=38+Parklawn+Rd&citystatezip=02132,SingleFamily,718705,1920,"$719,000"
477,2194,42.264203,-71.119223,10,9147,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=58+Westminster+St&citystatezip=02136,MultiFamily2To4,436191,1880,
478,1266,42.341941,-71.066833,6,1266,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=485+Harrison+Ave&citystatezip=02118,Condominium,937538,2004,"$1,195,000"
479,1663,42.316034,-71.107363,6,1742,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=196+Chestnut+Ave&citystatezip=02130,Townhouse,706177,1988,"$699,000"
481,1240,42.35128,-71.0671,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Charles+St&citystatezip=02116,MultiFamily2To4,1260763,2004,"$1,699,000"
482,2576,42.318715,-71.10912,12,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=45+Oakview+Ter&citystatezip=02130,SingleFamily,948072,1905,"$949,000"
483,3768,42.294897,-71.084062,17,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=74+Nightingale+St&citystatezip=02124,MultiFamily2To4,484203,1905,"$399,999"
485,7540,42.295902,-71.064888,22,20234,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=10+Upland+Ave&citystatezip=02124,Triplex,1359274,1920,"$1,395,000"
486,2000,42.335131,-71.055187,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+D+St&citystatezip=02127,Condominium,787069,2016,"$1,000,000"
488,847,42.348107,-71.087809,3,871,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=360+Newbury+St&citystatezip=02115,Condominium,846707,2006,"$1,150,000"
489,,42.34853,-71.0828,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=776+Boylston+St&citystatezip=02199,Condominium,2704622,,"$5,990,000"
490,4470,42.29422,-71.080535,18,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=4+Browning+Ave&citystatezip=02124,MultiFamily2To4,514677,1900,"$659,900"
491,3771,42.331183,-71.038136,14,3920,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=585+E+8th&citystatezip=02127,MultiFamily2To4,1205147,1907,"$1,800,000"
492,2000,42.357723,-71.071952,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=37+Brimmer+St&citystatezip=02108,Apartment,,,"$3,995,000"
494,985,42.380699,-71.066268,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=306+Bunker+Hill&citystatezip=02129,Condominium,594314,1992,"$639,900"
495,1055,42.26757,-71.15037,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=4975+Washington+St&citystatezip=02132,Condominium,292897,1986,"$299,000"
499,1679,42.291523,-71.112758,6,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=14+Woodbourne+Rd&citystatezip=02130,SingleFamily,556306,1940,"$649,000"
500,1248,42.32132,-71.107855,8,2178,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=38+Sheridan+St&citystatezip=02130,Miscellaneous,519694,1890,"$929,000"
501,1755,42.342015,-71.078663,6,1755,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=44+Rutland+Sq&citystatezip=02118,Condominium,1743399,1875,"$1,295,000"
503,1035,42.35014,-71.09155,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=4+Charlesgate+E&citystatezip=02215,MultiFamily2To4,805218,,"$589,000"
504,1024,42.32502,-71.11208,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=242+S+Huntington&citystatezip=02130,MultiFamily5Plus,,,"$314,500"
505,2902,42.312617,-71.109716,13,7279,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=288+Chestnut+Ave&citystatezip=02130,Triplex,1070312,1890,"$659,000"
506,898,42.3003,-71.108936,6,898,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=3+Oleary+Way&citystatezip=02130,Condominium,318674,1946,"$449,000"
507,2946,42.332789,-71.033048,13,2100,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=150+M+St&citystatezip=02127,Condominium,1235578,1890,"$624,617"
508,1367,42.322555,-71.115127,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=69+Parkton+Rd&citystatezip=02130,Condominium,621356,2004,"$699,000"
509,3351,42.342916,-71.087013,9,1742,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=7+Symphony+Rd&citystatezip=02115,MultiFamily2To4,1223944,1886,"$2,395,000"
510,3468,42.359834,-71.128526,15,4017,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=299+N+Harvard&citystatezip=02134,MultiFamily5Plus,829823,1915,"$1,250,000"
511,1136,42.33061,-71.047099,4,1136,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1306+Columbia+Rd&citystatezip=02127,Condominium,508977,2000,"$624,617"
512,1235,42.263482,-71.150457,6,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=85+Woodley+Ave&citystatezip=02132,SingleFamily,403232,1960,"$449,900"
513,3714,42.281973,-71.089434,15,3150,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=17+Sutton+St&citystatezip=02126,MultiFamily2To4,538712,1900,"$649,900"
514,1295,42.292602,-71.114381,6,4791,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=81+Patten+St&citystatezip=02130,SingleFamily,493386,1950,"$539,000"
515,2494,42.291007,-71.05017,,2613,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=16+Frost+Ave&citystatezip=02122,Condominium,564955,,"$499,900"
541,1674,42.3665,-71.032769,10,1012,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=147+Everett+St&citystatezip=02128,Duplex,475738,1899,"$535,000"
542,1444,42.277881,-71.142996,7,3921,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=294+Stratford+St&citystatezip=02132,SingleFamily,574246,1928,"$579,000"
