,lat,lng,dir,city,D1,D2,M
413,42.306131,-71.1094802279,1,boston,#022f5d,#381f13,#ccafa1
414,42.306131,-71.1094802279,2,boston,,,
415,42.306131,-71.1094802279,3,boston,,,
416,42.306131,-71.1115099472,0,boston,,,
417,42.306131,-71.1115099472,1,boston,#3a3223,#505c69,#3a3223
418,42.306131,-71.1115099472,2,boston,#152f54,#254251,#565a5e
419,42.306131,-71.1115099472,3,boston,#3582b2,#9c514b,#575d63
420,42.306131,-71.1135396665,0,boston,#554d1b,#635b24,#847962
421,42.306131,-71.1135396665,1,boston,#312b12,#565b23,#716a5b
422,42.306131,-71.1135396665,2,boston,#373006,#928a5f,#1a1b1b
423,42.306131,-71.1135396665,3,boston,#474030,#dbcea6,#8b8474
424,42.306131,-71.1155693858,0,boston,,,
425,42.306131,-71.1155693858,1,boston,#39190d,#7f4541,#493129
426,42.306131,-71.1155693858,2,boston,#191103,#2f1616,#5e4c46
427,42.306131,-71.1155693858,3,boston,#9e7258,#584134,#584134
428,42.306131,-71.1175991051,0,boston,#285436,#2a333a,#1d2019
429,42.306131,-71.1175991051,1,boston,#312e23,#534e3e,#1e1f18
430,42.306131,-71.1175991051,2,boston,#2c220a,#7c643a,#7c6f55
431,42.306131,-71.1175991051,3,boston,#28260c,#1d1909,#887a5e
432,42.306131,-71.1196288244,0,boston,,,
433,42.306131,-71.1196288244,1,boston,,,
434,42.306131,-71.1196288244,2,boston,,,
435,42.306131,-71.1196288244,3,boston,,,
436,42.306131,-71.1216585437,0,boston,,,
437,42.306131,-71.1216585437,1,boston,,,
438,42.306131,-71.1216585437,2,boston,,,
439,42.306131,-71.1216585437,3,boston,,,
440,42.306131,-71.123688263,0,boston,,,
441,42.306131,-71.123688263,1,boston,,,
442,42.306131,-71.123688263,2,boston,,,
443,42.306131,-71.123688263,3,boston,,,
444,42.306131,-71.1277477016,0,boston,,,
445,42.306131,-71.1277477016,1,boston,,,
446,42.306131,-71.1277477016,2,boston,,,
447,42.306131,-71.1277477016,3,boston,,,
448,42.307631,-71.0526480874,0,boston,,,
449,42.307631,-71.0526480874,1,boston,,,
450,42.307631,-71.0526480874,2,boston,,,
451,42.307631,-71.0526480874,3,boston,,,
