OBJECTID,POSTCODE,PC_NAME,city,label,lat,lng
2404,,,Boston,Mission Hill,42.33008861,-71.1064153
2405,,,Boston,Jamaica Plain,42.32632352,-71.10513669
2406,,,Boston,Mission Hill,42.33539389,-71.09873695
2407,,,Boston,Mission Hill,42.33534614,-71.10079222
2408,,,Boston,Mission Hill,42.33190225,-71.10878079
2409,,,Boston,Mission Hill,42.33331478,-71.09366155
2410,,,Boston,Mission Hill,42.33096035,-71.10898522
2411,,,Boston,Jamaica Plain,42.32830554,-71.10944442
2412,,,Boston,Mission Hill,42.33545176,-71.09401478
2413,,,Boston,Mission Hill,42.33080935,-71.09827916
2414,,,Boston,Mission Hill,42.33118461,-71.11234998
2415,2445,BROOKLINE,MA,BROOKLINE_02445,42.33244426,-71.11249002
2416,,,Boston,Mission Hill,42.33443855,-71.10140796
2417,,,Boston,Mission Hill,42.33398198,-71.10280935
2418,,,Boston,Mission Hill,42.33182116,-71.10147617
2419,,,Boston,Mission Hill,42.32702381,-71.10433019
2420,,,Boston,Mission Hill,42.32730121,-71.0995422
2421,,,Boston,Jamaica Plain,42.32678833,-71.10085473
2422,,,Boston,Mission Hill,42.33346282,-71.10866863
2423,,,Boston,Mission Hill,42.33257851,-71.10829104
2424,,,Boston,Mission Hill,42.33074895,-71.1036766
2425,,,Boston,Mission Hill,42.32805111,-71.09756543
2426,,,Boston,Mission Hill,42.33124602,-71.09751324
2427,,,Boston,Mission Hill,42.33542235,-71.100337
2428,,,Boston,Mission Hill,42.32686269,-71.10102552
2429,,,Boston,Jamaica Plain,42.32871467,-71.11006454
2430,,,Boston,Mission Hill,42.3284159,-71.09775678
2431,,,Boston,Mission Hill,42.33271207,-71.10185451
2432,,,Boston,Mission Hill,42.33255116,-71.09893389
2433,,,Boston,Mission Hill,42.3320475,-71.10600772
2434,2445,BROOKLINE,MA,BROOKLINE_02445,42.33095224,-71.1133936
2435,,,Boston,Mission Hill,42.33035166,-71.09651142
2436,,,Boston,Mission Hill,42.32819794,-71.09871167
2437,,,Boston,Mission Hill,42.32997004,-71.10756157
2438,,,Boston,Mission Hill,42.33076046,-71.10937877
2439,,,Boston,Mission Hill,42.33177734,-71.10549373
2440,,,Boston,Mission Hill,42.33346993,-71.09953942
2441,,,Boston,Mission Hill,42.33480607,-71.09475826
2442,,,Boston,Mission Hill,42.33230479,-71.10514644
2443,,,Boston,Mission Hill,42.33270463,-71.10429067
2444,,,Boston,Mission Hill,42.33508037,-71.0972929
2445,,,Boston,Mission Hill,42.33694571,-71.0966644
2446,,,Boston,Mission Hill,42.32941986,-71.10467034
2447,,,Boston,Mission Hill,42.32959354,-71.10116215
2448,,,Boston,Mission Hill,42.33267524,-71.10852291
2449,,,Boston,Mission Hill,42.33265607,-71.11135663
2450,,,Boston,Mission Hill,42.33438722,-71.10594441
2451,,,Boston,Mission Hill,42.33653547,-71.09580781
2452,,,Boston,Mission Hill,42.33425641,-71.10790037
2453,,,Boston,Mission Hill,42.32894486,-71.09960639
2454,,,Boston,Mission Hill,42.32969645,-71.10924926
2455,,,Boston,Mission Hill,42.3318565,-71.09594303
2456,,,Boston,Mission Hill,42.32997902,-71.11082432
2457,,,Boston,Mission Hill,42.33596113,-71.09782788
2458,,,Boston,Mission Hill,42.32869512,-71.09922567
2459,,,Boston,Mission Hill,42.33450053,-71.1054164
2460,,,Boston,Mission Hill,42.32886279,-71.10675375
2461,,,Boston,Mission Hill,42.33263742,-71.10949641
