,source,target,value
315,boston_Area2MIT,newyork_WestVillage,0.181885
316,boston_Area2MIT,newyork_Williamsburg,0.14755
317,boston_Area2MIT,newyork_Woodside,0.08492
318,boston_Area2MIT,newyork_Yorkville,0.160155
319,boston_Area2MIT,sanfrancisco_Bayview,0
320,boston_Area2MIT,sanfrancisco_BernalHeights,0.3284
321,boston_Area2MIT,sanfrancisco_CastroUpperMarket,0.241705
322,boston_Area2MIT,sanfrancisco_Chinatown,0.666035
323,boston_Area2MIT,sanfrancisco_DiamondHeights,0
324,boston_Area2MIT,sanfrancisco_Downtown,0.124425
325,boston_Area2MIT,sanfrancisco_Excelsior,0
326,boston_Area2MIT,sanfrancisco_FinancialDistrict,0.22811
327,boston_Area2MIT,sanfrancisco_GlenPark,0.10099
328,boston_Area2MIT,sanfrancisco_HaightAshbury,0
329,boston_Area2MIT,sanfrancisco_InnerRichmond,0.042081
330,boston_Area2MIT,sanfrancisco_InnerSunset,0
331,boston_Area2MIT,sanfrancisco_Lakeshore,0.098975
332,boston_Area2MIT,sanfrancisco_Marina,0.494705
333,boston_Area2MIT,sanfrancisco_Mission,0.13169
334,boston_Area2MIT,sanfrancisco_NobHill,0.281385
335,boston_Area2MIT,sanfrancisco_NoeValley,0
336,boston_Area2MIT,sanfrancisco_NorthBeach,0.0460035
337,boston_Area2MIT,sanfrancisco_OceanView,0.12269
338,boston_Area2MIT,sanfrancisco_OuterMission,0
339,boston_Area2MIT,sanfrancisco_OuterRichmond,0
340,boston_Area2MIT,sanfrancisco_OuterSunset,0.12698
341,boston_Area2MIT,sanfrancisco_PacificHeights,0.57235
342,boston_Area2MIT,sanfrancisco_Parkside,0
343,boston_Area2MIT,sanfrancisco_PotreroHill,0
344,boston_Area2MIT,sanfrancisco_PresidioHeights,0
345,boston_Area2MIT,sanfrancisco_RussianHill,0.10986
346,boston_Area2MIT,sanfrancisco_Seacliff,0.04524
347,boston_Area2MIT,sanfrancisco_SouthOfMarket,0.275825
348,boston_Area2MIT,sanfrancisco_TwinPeaks,0
349,boston_Area2MIT,sanfrancisco_WestOfTwinPeaks,0.065035
350,boston_Area2MIT,sanfrancisco_WesternAddition,0.09451
351,boston_BROOKLINE_02445,boston_BROOKLINE_02446,1.54985
352,boston_BROOKLINE_02445,boston_BackBay,0.05855
353,boston_BROOKLINE_02445,boston_BayVillage,0
354,boston_BROOKLINE_02445,boston_BeaconHill,0.23061
355,boston_BROOKLINE_02445,boston_Brighton,0.491505
356,boston_BROOKLINE_02445,boston_Cambridgeport,1.22406
357,boston_BROOKLINE_02445,boston_Charlestown,0.079335
358,boston_BROOKLINE_02445,boston_Chinatown,0.053945
359,boston_BROOKLINE_02445,boston_Dorchester,0.14174
360,boston_BROOKLINE_02445,boston_Downtown,0
361,boston_BROOKLINE_02445,boston_EVERETT_02149,0.182815
362,boston_BROOKLINE_02445,boston_EastBoston,0
363,boston_BROOKLINE_02445,boston_EastCambridge,0
364,boston_BROOKLINE_02445,boston_Fenway,0.37203
365,boston_BROOKLINE_02445,boston_JamaicaPlain,1.1346
366,boston_BROOKLINE_02445,boston_LeatherDistrict,0.295025
367,boston_BROOKLINE_02445,boston_LongwoodMedicalArea,0.994285
368,boston_BROOKLINE_02445,boston_MEDFORD_02155,0.1262
369,boston_BROOKLINE_02445,boston_MidCambridge,0.19251
370,boston_BROOKLINE_02445,boston_MissionHill,1.05858
371,boston_BROOKLINE_02445,boston_NeighborhoodNine,0.299585
372,boston_BROOKLINE_02445,boston_NorthCambridge,0.435665
373,boston_BROOKLINE_02445,boston_NorthEnd,0.11606
374,boston_BROOKLINE_02445,boston_Riverside,0.32578
375,boston_BROOKLINE_02445,boston_Roxbury,0.122585
376,boston_BROOKLINE_02445,boston_SOMERVILLE_02143,0.676905
377,boston_BROOKLINE_02445,boston_SOMERVILLE_02144,0.622115
378,boston_BROOKLINE_02445,boston_SOMERVILLE_02145,0.59921
379,boston_BROOKLINE_02445,boston_SouthBoston,0.42184
380,boston_BROOKLINE_02445,boston_SouthBostonWaterfront,0
381,boston_BROOKLINE_02445,boston_SouthEnd,0.018668
382,boston_BROOKLINE_02445,boston_ThePort,0
383,boston_BROOKLINE_02445,boston_WATERTOWN_02472,0.412935
384,boston_BROOKLINE_02445,boston_WellingtonHarrington,0.677645
385,boston_BROOKLINE_02445,boston_WestCambridge,1.86865
386,boston_BROOKLINE_02445,boston_WestEnd,0.202315
387,boston_BROOKLINE_02445,chicago_ArmourSquare,0.200585
388,boston_BROOKLINE_02445,chicago_Bridgeport,0.264815
389,boston_BROOKLINE_02445,chicago_Douglas,0.197865
390,boston_BROOKLINE_02445,chicago_EastGarfieldPark,0.309345
391,boston_BROOKLINE_02445,chicago_HumboldtPark,0.156075
392,boston_BROOKLINE_02445,chicago_LincolnPark,0.3135295
393,boston_BROOKLINE_02445,chicago_LoganSquare,0.31162
394,boston_BROOKLINE_02445,chicago_Loop,0
395,boston_BROOKLINE_02445,chicago_LowerWestSide,0.125185
396,boston_BROOKLINE_02445,chicago_McKinleyPark,0.19065
397,boston_BROOKLINE_02445,chicago_NearNorthSide,0.617635
398,boston_BROOKLINE_02445,chicago_NearSouthSide,0.20911
399,boston_BROOKLINE_02445,chicago_NearWestSide,0
400,boston_BROOKLINE_02445,chicago_NorthLawndale,0.54355
401,boston_BROOKLINE_02445,chicago_SouthLawndale,0
402,boston_BROOKLINE_02445,chicago_WestTown,0.8253405
403,boston_BROOKLINE_02445,newyork_AstoriaLongIslandCity,0
404,boston_BROOKLINE_02445,newyork_BatteryPark,0
405,boston_BROOKLINE_02445,newyork_CarnegieHill,0
406,boston_BROOKLINE_02445,newyork_CentralPark,1.2127
407,boston_BROOKLINE_02445,newyork_Chelsea,0
408,boston_BROOKLINE_02445,newyork_Chinatown,0
409,boston_BROOKLINE_02445,newyork_Clinton,0
410,boston_BROOKLINE_02445,newyork_EastHarlem,0
411,boston_BROOKLINE_02445,newyork_EastVillage,0
412,boston_BROOKLINE_02445,newyork_FinancialDistrict,0
413,boston_BROOKLINE_02445,newyork_GarmentDistrict,0
414,boston_BROOKLINE_02445,newyork_Gramercy,0
415,boston_BROOKLINE_02445,newyork_Greenpoint,0
416,boston_BROOKLINE_02445,newyork_GreenwichVillage,0.14369
417,boston_BROOKLINE_02445,newyork_LittleItaly,0
418,boston_BROOKLINE_02445,newyork_LowerEastSide,0
419,boston_BROOKLINE_02445,newyork_Maspeth,0.0040831
420,boston_BROOKLINE_02445,newyork_Midtown,0.08147
421,boston_BROOKLINE_02445,newyork_MurrayHill,0
422,boston_BROOKLINE_02445,newyork_NorthSuttonArea,0.061545
423,boston_BROOKLINE_02445,newyork_Soho,0
424,boston_BROOKLINE_02445,newyork_Steinway,0
425,boston_BROOKLINE_02445,newyork_SunnySide,0
426,boston_BROOKLINE_02445,newyork_TheWaterfront,0
427,boston_BROOKLINE_02445,newyork_Tribeca,0
428,boston_BROOKLINE_02445,newyork_UpperEastSide,0
