,0,1
794,8015,9754
795,9414,10430
796,8802,9764
797,8416,9400
798,347,7270
799,6634,6638
800,13510,13527
801,2175,17145
802,14773,16931
803,5768,5943
804,9597,9611
805,8311,10746
806,2602,14191
807,12407,12576
808,13132,14588
809,7174,10593
810,16258,16940
811,5250,5341
812,83,5118
813,6696,7561
814,12850,12856
815,5368,5425
816,8289,10896
817,2667,11303
818,5726,8101
819,7802,16538
820,13423,14672
821,2113,2260
822,7938,10124
823,8420,8648
824,1252,1380
825,12652,12803
826,310,4402
827,10347,10349
828,1442,3328
829,2257,11283
830,6868,7809
831,12460,13446
832,3408,3417
833,9096,9800
834,14213,16046
835,10877,17220
836,13535,13714
837,2871,3608
838,11312,11530
839,12502,14534
840,8713,10461
841,13605,13827
842,5568,5618
843,14897,16699
844,125,1780
845,12901,13668
846,7578,7990
847,12253,14353
848,12785,13516
849,13726,13980
850,6806,17173
851,7179,10575
852,10458,16948
853,14132,14747
854,515,3165
855,8196,16200
856,1122,4586
857,7396,16865
858,2626,4505
859,6584,6621
860,13080,15104
861,12631,13324
