lat,lng,_r,_g,_b
41.837104,-87.65857882,0.080858086,0.103377687,0.239460784
41.837104,-87.66059334,0.090859031,0.122388462,0.727352941
41.837104,-87.66260786,0.138888889,0.051282051,0.458823529
41.837104,-87.66462237,0.077190171,0.331914894,0.351073763
41.837104,-87.66663689,0.443932412,0.028624192,0.479506641
41.837104,-87.6686514,0.122807018,0.066901408,0.278431373
41.837104,-87.67066592,0.095744681,0.3671875,0.501960784
41.837104,-87.67268043,0.08897014,0.302377004,0.591176471
41.837104,-87.67469495,0.121505376,0.162473795,0.349176471
41.837104,-87.67670947,0.124109868,0.177789835,0.344164332
41.837104,-87.67872398,0.094474153,0.352830189,0.519607843
41.837104,-87.6807385,0.087625814,0.155653857,0.675443511
41.837104,-87.68476753,0.122164049,0.213646532,0.269683258
41.837104,-87.69081108,0.458333333,0.075471698,0.069281046
41.837104,-87.69282559,0.080128205,0.25060241,0.54248366
41.837104,-87.69484011,0.081932773,0.319892473,0.324183007
41.838604,-87.60620142,0.123470122,0.099484315,0.701960784
41.838604,-87.60821593,0.583333333,0.008344924,0.704901961
41.838604,-87.61023045,0.100057176,0.205716302,0.584932921
41.838604,-87.61224496,0.151041667,0.074418605,0.337254902
41.838604,-87.61425948,0.166666667,0.160493827,0.317647059
41.838604,-87.616274,0.166666667,0.141104294,0.319607843
41.838604,-87.61828851,0.111468382,0.293673277,0.377540107
41.838604,-87.62030303,0.099520384,0.188092016,0.724509804
41.838604,-87.62231754,0.083333333,0.302325581,0.337254902
41.838604,-87.62433206,0.5,0.063829787,0.368627451
41.838604,-87.62634657,,,
41.838604,-87.62836109,0.576923077,0.113043478,0.751633987
41.838604,-87.63037561,0.125,0.058064516,0.347338936
41.838604,-87.63440464,0.998233216,0.129995407,0.170745098
41.838604,-87.63641915,0.128600823,0.087312709,0.686422494
41.838604,-87.63843367,0.053815004,0.398268398,0.296153846
41.838604,-87.64044818,0.065088757,0.337662338,0.301960784
41.838604,-87.6424627,0.102402402,0.166766827,0.420999367
41.838604,-87.64447722,0.087,0.264410365,0.247189542
41.838604,-87.64649173,0.076207544,0.288862594,0.779815456
41.838604,-87.64850625,0.078288943,0.287604457,0.187712418
41.838604,-87.65052076,0.04954955,0.379487179,0.764705882
41.838604,-87.65253528,0.040849673,0.182795699,0.205147059
41.838604,-87.65454979,0.090153027,0.150089874,0.353789083
41.838604,-87.65656431,0.545343137,0.083538084,0.319215686
41.838604,-87.65857882,0.317371938,0.08965655,0.258410733
41.838604,-87.66059334,0.097152429,0.041518882,0.696151053
41.838604,-87.66260786,0.092006803,0.29669997,0.588770053
41.838604,-87.66462237,0.503623188,0.025274725,0.71372549
41.838604,-87.66663689,0.166666667,0.046849758,0.101143791
41.838604,-87.68476753,,,
41.838604,-87.68678204,0.118568233,0.213467049,0.912418301
41.838604,-87.68879656,0.5625,0.009905076,0.678711485
41.838604,-87.69484011,0.091954023,0.243697479,0.233333333
41.840104,-87.60821593,0.216666667,0.43956044,0.356862745
41.840104,-87.61023045,,,
41.840104,-87.61224496,0.583333333,0.035714286,0.658823529
41.840104,-87.61425948,0.099229287,0.078033378,0.322004357
41.840104,-87.62231754,0.08747698,0.111179361,0.491101056
41.840104,-87.62634657,0,0,0.776470588
41.840104,-87.63037561,0.063492063,0.313432836,0.262745098
41.840104,-87.63239012,0.043654076,0.460104021,0.376996652
41.840104,-87.63440464,0.080559958,0.241115781,0.38010167
41.840104,-87.63641915,0.130769231,0.079986576,0.64320921
41.840104,-87.63843367,0.089860352,0.22875,0.276816609
41.840104,-87.64044818,0.084570957,0.210307132,0.358730159
41.840104,-87.6424627,0.127777778,0.308123249,0.233333333
41.840104,-87.64447722,0.263616558,0.057888763,0.296134454
41.840104,-87.64649173,0.036606374,0.455160247,0.310168719
41.840104,-87.64850625,0.105943152,0.053682896,0.785294118
41.840104,-87.65052076,0.105489418,0.096644295,0.400999616
41.840104,-87.65253528,0.139118457,0.11804878,0.200980392
41.840104,-87.65454979,0.038307514,0.548085254,0.301751634
41.840104,-87.65656431,0.086188993,0.121867882,0.491876751
41.840104,-87.65857882,0.046848073,0.477396726,0.308043217
41.840104,-87.66059334,0.06557377,0.402906209,0.309232026
41.840104,-87.66260786,0.216666667,0.01907588,0.804433078
41.840104,-87.66462237,0.176328502,0.101358795,0.133480392
41.840104,-87.67268043,0.098958333,0.231884058,0.240522876
41.840104,-87.67469495,0.096153846,0.297482838,0.285620915
41.840104,-87.68476753,0.5,0.056766055,0.42745098
41.840104,-87.68678204,,,
41.840104,-87.69484011,0.059092294,0.482510288,0.272268908
41.841604,-87.60821593,,,
41.841604,-87.61023045,0.19017094,0.011328976,0.870967742
41.841604,-87.61224496,0.098233996,0.135791367,0.594652406
41.841604,-87.61828851,0.12195122,0.106770833,0.752941176
41.841604,-87.62030303,0.093843844,0.165671642,0.656862745
41.841604,-87.62231754,0.064327485,0.395833333,0.282352941
41.841604,-87.62433206,0.048717949,0.161290323,0.395098039
41.841604,-87.62634657,0.065656566,0.177419355,0.243137255
41.841604,-87.62836109,0.068202659,0.35663478,0.301664817
41.841604,-87.63037561,0.085144928,0.14488189,0.498039216
41.841604,-87.63239012,0.055123217,0.342536177,0.355104801
41.841604,-87.63440464,0.063055062,0.49429324,0.297777778
41.841604,-87.63641915,0.119946985,0.125051794,0.5770923
41.841604,-87.63843367,0.044811321,0.368787276,0.254522454
41.841604,-87.64044818,0.09196378,0.182071097,0.333849329
41.841604,-87.6424627,0.070102136,0.164792288,0.205858729
41.841604,-87.64447722,0.052253116,0.504352031,0.21918389
41.841604,-87.64649173,0.03151397,0.516096579,0.259869281
41.841604,-87.64850625,,,
41.841604,-87.65052076,0.077946768,0.234821429,0.439215686
41.841604,-87.65253528,0.092271293,0.108972155,0.380261438
41.841604,-87.65454979,0.07973251,0.265139116,0.410756303
