id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
157,41.832604,-87.61425948,9944.25,60752.25,5.31511134,0.095600677,0.071368192,0.721655773,#b8b2aa,Douglas
158,41.832604,-87.616274,10416.5,64088,4.919846318,0.069483568,0.114221364,0.358477509,#5b5550,Douglas
159,41.832604,-87.61828851,72019,14267.25,6.266507266,0.057936508,0.18699911,0.220196078,#38312d,Douglas
160,41.832604,-87.62030303,93123,7111.75,6.211829757,0.023228804,0.446345257,0.36022409,#5b3832,Douglas
161,41.832604,-87.62231754,76063,20596,6.237272883,0.039215686,0.089238845,0.373529412,#5f5856,Douglas
162,41.832604,-87.62634657,104739.5,20269.25,6.620711334,0.047619048,0.071428571,0.384313725,#625d5b,Douglas
163,41.832604,-87.63037561,13250.25,71457.5,5.826002291,0.124113475,0.149681529,0.24627451,#3e3c35,Douglas
164,41.832604,-87.63239012,30718.75,67329.5,,,,,,Bridgeport
165,41.832604,-87.63440464,50653.5,50237.75,,,,,,Bridgeport
166,41.832604,-87.63843367,84462.75,16652.25,6.044190813,0.048433048,0.178899083,0.197285068,#322b29,Bridgeport
167,41.832604,-87.64044818,38104.5,42689.75,5.918227076,0.346994536,0.019020892,0.4056926,#656765,Bridgeport
168,41.832604,-87.6424627,49060.25,29979.75,5.988222566,0.078583765,0.125732899,0.207572684,#34312e,Bridgeport
169,41.832604,-87.64447722,37226,40315.75,5.770859495,0.051131419,0.429372197,0.233202614,#3b2921,Bridgeport
170,41.832604,-87.64649173,24691,36439.75,5.477788583,0.052947911,0.305740287,0.422789493,#6b554a,Bridgeport
171,41.832604,-87.64850625,60227.25,15688.25,5.810263993,0.09607438,0.266813671,0.20922722,#352f27,Bridgeport
172,41.832604,-87.65052076,40024,35595.75,5.936204226,0.05647977,0.43349359,0.667379679,#aa7960,Bridgeport
173,41.832604,-87.65253528,72520.75,16009.25,5.876456585,0.030134446,0.371001032,0.223529412,#392723,Bridgeport
174,41.832604,-87.65454979,38129,32729.25,5.897477002,0.105833333,0.090867787,0.401459188,#66625d,Bridgeport
175,41.832604,-87.65656431,41581,37683,5.792200259,0.124938635,0.100577692,0.37288042,#5f5c55,Bridgeport
176,41.832604,-87.65857882,41878.75,63805.75,5.950127132,0.144444444,0.135746606,0.216666667,#37362f,Bridgeport
177,41.832604,-87.66059334,36630.25,55415,5.500127065,0.473039216,0.015202325,0.674660633,#a9acab,Bridgeport
178,41.832604,-87.66260786,2880.75,47797.25,5.280679984,0.572016461,0.00829748,0.660040568,#a6a7a8,Bridgeport
179,41.832604,-87.66462237,70055.75,9593.5,6.246585049,0.131036099,0.265794393,0.338393422,#56513f,Bridgeport
180,41.832604,-87.66663689,65412.5,25100.25,5.917744881,0.091467577,0.311370882,0.512527233,#82705a,McKinley Park
181,41.832604,-87.6686514,44709.75,34221.75,5.730045205,0.095017182,0.236239649,0.328611445,#534b40,McKinley Park
182,41.832604,-87.67066592,23635,42882.5,5.572145604,0.040630182,0.130012937,0.144351074,#242120,McKinley Park
183,41.832604,-87.67268043,66735.5,31523.75,5.370847481,0.10110525,0.269441624,0.603553922,#998970,McKinley Park
184,41.832604,-87.67469495,10163.5,55695.25,5.243854827,0.04049026,0.553214675,0.327153892,#533025,McKinley Park
185,41.832604,-87.67670947,91062.5,14049.5,6.284042219,0.068432671,0.366504854,0.403921569,#665041,McKinley Park
186,41.832604,-87.67872398,101113.5,5527.25,6.373659075,0.048850575,0.077643909,0.26631016,#43403e,McKinley Park
187,41.832604,-87.6807385,48175,35048,5.804108022,0.073322511,0.156703129,0.327993325,#534c46,Lower West Side
188,41.832604,-87.68275301,46125.5,41941.25,6.096438965,0.11230329,0.228992629,0.30693816,#4e483c,Lower West Side
189,41.832604,-87.68476753,64126.5,29925,6.096535161,0.533333333,0.027932961,0.701960784,#aeb2b3,Lower West Side
190,41.832604,-87.68678204,43054.25,36658.5,5.002617603,0.476531424,0.061078717,0.48912656,#757c7b,Lower West Side
191,41.834104,-87.6041869,11406,81939.5,5.987838979,0.556179775,0.361336665,0.660887513,#6b93a8,Douglas
192,41.834104,-87.60620142,110565.5,17990.5,,,,,,Douglas
193,41.834104,-87.60821593,56761.25,56689,5.631819823,0.206349206,0.008457511,0.811437908,#cececd,Douglas
194,41.834104,-87.61023045,92249.25,13232.25,5.524132405,0.072649573,0.022311213,0.360784314,#5c5a59,Douglas
195,41.834104,-87.61224496,74761.75,30093.75,,,,,,Douglas
196,41.834104,-87.61425948,73856.75,31744.25,,,,,,Douglas
