,lat,lng,tree,sky,entropy,H,S,V,color,neighborhood,city
139,42.307631,-71.115569,15448.5,49926.75,6.12396446766,0.140774586597,0.187745098039,0.470588235294,#787461,Jamaica Plain,boston
140,42.307631,-71.117599,24531.5,34622.5,5.79633375747,0.0431554183208,0.399049463123,0.297045751634,#4b352d,Jamaica Plain,boston
141,42.307631,-71.119628,61370.0,35925.5,,,,,,Jamaica Plain,boston
142,42.307631,-71.123688,65672.75,29510.0,5.91687918025,0.309447983015,0.134475374732,0.398124467178,#596557,Jamaica Plain,boston
143,42.307631,-71.125717,81840.75,28635.75,,,,,,Jamaica Plain,boston
144,42.307631,-71.127747,75726.0,27896.25,,,,,,Jamaica Plain,boston
145,42.309131,-71.048588,85093.75,20351.0,5.50284604749,0.103242320819,0.119008935825,0.459757236228,#756f67,Dorchester,boston
146,42.309131,-71.050618,23949.75,24529.5,6.21334779848,0.112985685072,0.116943680497,0.528969006958,#868177,Dorchester,boston
147,42.309131,-71.052648,87539.75,17223.25,,,,,,Dorchester,boston
148,42.309131,-71.056707,59332.0,28742.75,4.99787624555,0.295454545455,0.0389725420726,0.260438292964,#40423f,Dorchester,boston
149,42.309131,-71.058737,28404.75,53869.5,5.72458027385,0.427489177489,0.0567010309278,0.426039215686,#666c69,Dorchester,boston
150,42.309131,-71.060766,61760.75,13767.5,6.0223799797,0.334474885845,0.0452152369155,0.214622798272,#343634,Dorchester,boston
151,42.309131,-71.062796,14650.0,40403.25,5.29331665739,0.416666666667,0.00307468241767,0.914465408805,#e8e9e8,Dorchester,boston
152,42.309131,-71.064826,24846.5,27813.0,5.9057612927,0.135650224215,0.157876106195,0.405308464849,#676457,Dorchester,boston
153,42.309131,-71.066856,54358.75,16989.0,5.99350645168,0.264356435644,0.210767946578,0.280479953175,#3e4738,Dorchester,boston
154,42.309131,-71.068885,38803.0,18548.25,6.08560370642,0.125203252033,0.0332576249189,0.805751633987,#cdcbc6,Dorchester,boston
155,42.309131,-71.072945,23270.0,42655.75,6.00129930868,0.123139377537,0.169340054995,0.45036119711,#726d5f,Dorchester,boston
156,42.309131,-71.074974,39275.75,32000.0,5.75947651117,0.0873397435897,0.337772003897,0.402483660131,#665643,Dorchester,boston
157,42.309131,-71.079034,47432.0,21899.5,6.18903987169,0.24537037037,0.0712669683258,0.462222222222,#71756d,Dorchester,boston
158,42.309131,-71.081064,6339.25,49716.0,5.69116488538,0.0904923386084,0.234535171439,0.693382352941,#b09d87,Roxbury,boston
159,42.309131,-71.083093,24520.25,46552.75,6.11228478821,0.0494905385735,0.385846672283,0.244994840041,#3e2d26,Roxbury,boston
160,42.309131,-71.085123,8199.5,22744.0,5.79781828722,0.0878557645924,0.25766756782,0.378978978979,#605447,Roxbury,boston
161,42.309131,-71.087153,45412.25,15548.0,5.83901522936,0.140384615385,0.131578947368,0.198692810458,#32312c,Roxbury,boston
162,42.309131,-71.089183,35404.0,24950.0,5.91394082723,0.124846248462,0.177414075286,0.374387254902,#5f5b4e,Roxbury,boston
163,42.309131,-71.091212,39975.25,43352.5,,,,,,Roxbury,boston
164,42.309131,-71.093242,80579.25,28960.75,,,,,,Roxbury,boston
165,42.309131,-71.099331,86544.75,10247.25,,,,,,Jamaica Plain,boston
166,42.309131,-71.101361,66277.75,17987.75,6.14803392125,0.608262108262,0.0761223162004,0.388867805187,#5b5e63,Jamaica Plain,boston
167,42.309131,-71.103391,73731.25,16145.0,5.94056175027,0.113814317673,0.278504672897,0.209803921569,#353026,Jamaica Plain,boston
168,42.309131,-71.105421,10373.5,51309.25,5.63532417857,0.0597261567517,0.344054580897,0.292620320856,#4a3a30,Jamaica Plain,boston
169,42.309131,-71.107451,67600.0,25774.0,,,,,,Jamaica Plain,boston
170,42.309131,-71.109481,82267.75,11922.5,6.0353628293,0.0412748171369,0.178311906093,0.292320261438,#4a403d,Jamaica Plain,boston
171,42.309131,-71.111509,78771.0,13519.0,,,,,,Jamaica Plain,boston
172,42.309131,-71.115569,45450.5,37584.5,,,,,,Jamaica Plain,boston
173,42.309131,-71.117599,54016.75,7194.75,5.8678260999,0.0662525879917,0.337880377754,0.334679543459,#554338,Jamaica Plain,boston
174,42.309131,-71.119628,65478.25,12193.5,5.95100856981,0.950645406226,0.150342465753,0.301341589267,#4c4144,Jamaica Plain,boston
175,42.309131,-71.121658,59196.5,53144.5,,,,,,Jamaica Plain,boston
176,42.309131,-71.123688,66687.75,24591.5,6.21410144195,0.277041942605,0.067926225821,0.322875816993,#4e524c,Jamaica Plain,boston
177,42.309131,-71.125717,81774.0,21776.25,,,,,,Jamaica Plain,boston
178,42.309131,-71.127747,86383.5,21119.75,,,,,,Jamaica Plain,boston
179,42.309131,-71.129777,65703.25,32388.5,,,,,,Jamaica Plain,boston
180,42.309131,-71.131807,84375.0,20718.25,,,,,,Jamaica Plain,boston
181,42.309131,-71.133836,72768.5,29682.5,,,,,,Jamaica Plain,boston
182,42.310631,-71.046558,76733.0,17415.0,5.81803938014,0.377777777778,0.108982826948,0.329847494553,#4a544d,Dorchester,boston
183,42.310631,-71.050618,113903.0,9747.75,,,,,,Dorchester,boston
184,42.310631,-71.052648,41173.25,42437.5,5.95577763256,0.547275641026,0.0363255326581,0.477763871506,#757879,Dorchester,boston
185,42.310631,-71.054677,48754.75,39126.5,,,,,,Dorchester,boston
186,42.310631,-71.056707,81689.5,19467.25,,,,,,Dorchester,boston
187,42.310631,-71.058737,29318.0,33102.25,5.74627585126,0.477295162883,0.332131147541,0.249183006536,#2a3f3c,Dorchester,boston
188,42.310631,-71.060766,21684.25,41909.25,6.05011574951,0.0342723004695,0.185475444096,0.208496732026,#352d2b,Dorchester,boston
189,42.310631,-71.062796,23918.75,42569.5,5.83033322313,0.570009689922,0.172172172172,0.540365111562,#727f89,Dorchester,boston
190,42.310631,-71.064826,68183.0,28024.25,,,,,,Dorchester,boston
191,42.310631,-71.066856,37435.25,24261.75,6.16057654474,0.60234375,0.186208903113,0.259200603318,#353a42,Dorchester,boston
192,42.310631,-71.068885,30592.75,32618.5,6.03804210918,0.527555555556,0.0506482982172,0.537690631808,#828789,Dorchester,boston
193,42.310631,-71.070915,29806.25,49759.75,,,,,,Dorchester,boston
194,42.310631,-71.072945,40408.0,45784.0,,,,,,Roxbury,boston
195,42.310631,-71.074974,18928.25,40649.0,5.76603283115,0.123519967891,0.225986394558,0.524064171123,#857d67,Roxbury,boston
196,42.310631,-71.077004,9390.0,16005.75,5.5557409665,0.0471960357747,0.571369380568,0.420653594771,#6b3f2d,Dorchester,boston
197,42.310631,-71.079034,24580.25,39178.75,6.16311599417,0.12460815047,0.0556088207095,0.789336085311,#c9c6be,Roxbury,boston
198,42.310631,-71.081064,28511.5,40597.5,6.08306819568,0.149143302181,0.154680159017,0.258356676004,#414037,Roxbury,boston
199,42.310631,-71.083093,59569.75,14124.75,6.01410023997,0.112915699923,0.102790364894,0.530423782416,#878279,Roxbury,boston
200,42.310631,-71.085123,43682.5,22634.25,5.9401814813,0.0131086142322,0.089,0.224089635854,#393434,Roxbury,boston
201,42.310631,-71.087153,15906.75,32641.5,6.00989294439,0.0629474419417,0.305147058824,0.266666666667,#43372f,Roxbury,boston
202,42.310631,-71.089183,54695.25,30157.25,6.29770769318,0.291666666667,0.0298507462687,0.363800904977,#5a5c5a,Roxbury,boston
203,42.310631,-71.091212,38187.5,15751.25,5.7113532596,0.300505050505,0.0345233424872,0.428403361345,#6a6d69,Roxbury,boston
204,42.310631,-71.093242,57404.75,33426.25,,,,,,Roxbury,boston
205,42.310631,-71.095272,98763.75,11684.5,,,,,,Jamaica Plain,boston
206,42.310631,-71.097301,61450.75,32429.0,,,,,,Jamaica Plain,boston
207,42.310631,-71.099331,89726.75,4849.75,6.04365336428,0.608045977011,0.111281657713,0.189251997095,#2a2c30,Jamaica Plain,boston
208,42.310631,-71.101361,103564.75,7486.25,,,,,,Jamaica Plain,boston
209,42.310631,-71.103391,31164.0,34932.75,5.76770539829,0.114856429463,0.169523809524,0.411764705882,#696357,Jamaica Plain,boston
210,42.310631,-71.105421,12545.0,54467.75,5.49812008957,0.546239837398,0.0899122807018,0.484945164506,#70787b,Jamaica Plain,boston
211,42.310631,-71.107451,24598.25,62673.25,,,,,,Jamaica Plain,boston
212,42.310631,-71.109481,60306.0,30349.25,,,,,,Jamaica Plain,boston
213,42.310631,-71.111509,64483.0,30081.0,6.39522714666,0.133720930233,0.0993071593533,0.37734204793,#605e56,Jamaica Plain,boston
214,42.310631,-71.113539,99708.25,20829.75,,,,,,Jamaica Plain,boston
215,42.310631,-71.115569,24172.25,42444.75,5.85911708386,0.00713121434393,0.286615276804,0.223843137255,#392928,Jamaica Plain,boston
216,42.310631,-71.117599,70561.75,15258.5,6.21086840425,0.10101010101,0.130361173815,0.463267973856,#767066,Jamaica Plain,boston
217,42.310631,-71.119628,48212.0,40944.25,6.21568769102,0.0868544600939,0.0477792732167,0.2081232493,#353332,Jamaica Plain,boston
218,42.310631,-71.121658,63928.25,37875.75,,,,,,Jamaica Plain,boston
219,42.310631,-71.123688,62386.75,29441.25,,,,,,Jamaica Plain,boston
220,42.310631,-71.125717,107647.0,7006.75,,,,,,Jamaica Plain,boston
221,42.310631,-71.127747,101517.75,9205.0,,,,,,Jamaica Plain,boston
222,42.310631,-71.129777,52829.75,42865.0,6.05837312305,0.19696969697,0.0270769230769,0.531045751634,#868783,Jamaica Plain,boston
223,42.310631,-71.131807,88749.5,9861.0,,,,,,Jamaica Plain,boston
224,42.310631,-71.135866,96946.0,33990.0,,,,,,Jamaica Plain,boston
225,42.312131,-71.046558,96573.25,11445.25,,,,,,Dorchester,boston
226,42.312131,-71.048588,83056.5,9491.5,6.31317972331,0.109775641026,0.268387096774,0.239938080495,#3d372c,Dorchester,boston
